hgnc_symbol	start_position	end_position	chromosome_name
A1CF	A1CF	52559169	52645435	10
A2M	A2M	9220260	9268825	12
A2ML1	A2ML1	8975068	9039597	12
A4GALT	A4GALT	43088127	43117304	22
A4GNT	A4GNT	137842560	137851229	3
AAAS	AAAS	53701240	53718648	12
AACS	AACS	125549925	125627873	12
AADAC	AADAC	151531825	151546276	3
AADACL3	AADACL3	12776118	12788726	1
AADAT	AADAT	170981373	171012850	4
AAGAB	AAGAB	67493371	67547533	15
AAK1	AAK1	69688532	69901481	2
AAMDC	AAMDC	77532155	77629478	11
AAMP	AAMP	219128850	219134980	2
AANAT	AANAT	74449433	74466199	17
AAR2	AAR2	34824381	34858840	20
AARD	AARD	117950438	117956726	8
AARS	AARS	70286198	70323446	16
AARS2	AARS2	44267391	44281063	6
AARSD1	AARSD1	41102543	41116515	17
AASDH	AASDH	57204456	57253666	4
AASDHPPT	AASDHPPT	105946228	105969437	11
AASS	AASS	121715701	121784334	7
AATF	AATF	35306175	35414171	17
AATK	AATK	79091095	79139877	17
ABAT	ABAT	8768422	8878432	16
ABCA1	ABCA1	107543283	107690518	9
ABCA10	ABCA10	67143355	67240987	17
ABCA12	ABCA12	215796266	216003151	2
ABCA13	ABCA13	48211055	48687092	7
ABCA2	ABCA2	139901686	139923367	9
ABCA3	ABCA3	2325882	2390747	16
ABCA4	ABCA4	94458393	94586688	1
ABCA5	ABCA5	67240452	67323385	17
ABCA6	ABCA6	67074843	67138029	17
ABCA7	ABCA7	1040102	1065571	19
ABCA8	ABCA8	66863433	66951533	17
ABCA9	ABCA9	66970629	67057205	17
ABCB1	ABCB1	87133175	87342611	7
ABCB10	ABCB10	229652329	229694442	1
ABCB4	ABCB4	87031013	87109751	7
ABCB5	ABCB5	20654830	20816658	7
ABCB6	ABCB6	220074490	220083712	2
ABCB7	ABCB7	74273115	74376567	X
ABCB8	ABCB8	150725510	150744869	7
ABCB9	ABCB9	123405498	123466196	12
ABCC1	ABCC1	16043434	16236931	16
ABCC10	ABCC10	43395104	43418168	6
ABCC11	ABCC11	48200821	48281479	16
ABCC12	ABCC12	48116884	48189929	16
ABCC2	ABCC2	101542489	101611949	10
ABCC3	ABCC3	48712138	48769613	17
ABCC4	ABCC4	95672083	95953687	13
ABCC5	ABCC5	183637722	183735803	3
ABCC6	ABCC6	16242785	16317379	16
ABCC8	ABCC8	17414432	17498449	11
ABCC9	ABCC9	21950335	22094336	12
ABCD1	ABCD1	152990323	153010216	X
ABCD2	ABCD2	39943835	40013553	12
ABCD3	ABCD3	94883933	94984222	1
ABCD4	ABCD4	74752126	74769759	14
ABCE1	ABCE1	146019084	146050331	4
ABCF2	ABCF2	150904923	150924316	7
ABCF3	ABCF3	183903811	183911800	3
ABCG1	ABCG1	43619799	43717354	21
ABCG2	ABCG2	89011416	89152474	4
ABCG4	ABCG4	119019722	119033360	11
ABCG5	ABCG5	44039611	44066004	2
ABCG8	ABCG8	44066103	44105605	2
ABHD1	ABHD1	27346682	27353680	2
ABHD10	ABHD10	111697857	111712210	3
ABHD11	ABHD11	73150424	73153197	7
